Exam Title,Exam Number,Exam Date
Microsoft Azure Security Technologies,AZ-500,2020-03-26
Designing and Implementing Microsoft DevOps Solutions,AZ-400,2019-12-18
Microsoft Azure Administrator Certification Transition,AZ-102,2019-05-02
Microsoft Azure Architect Design,AZ-301,2019-04-04
Microsoft Azure Architect Technologies,AZ-300,2019-03-14
Architecting Microsoft Azure Solutions,534,2017-10-13
Implementing Microsoft Azure Infrastructure Solutions,533,2017-08-31
Developing Microsoft Azure Solutions,532,2017-04-28
Pro: Deploying Messaging Solutions with Microsoft Exchange Server 2007,238,2009-12-17
Pro: Designing Messaging Solutions with Microsoft Exchange Server 2007,237,2009-10-26
TS: Exchange Server 2007 Configuration,236,2009-09-29
Planning and Maintaining a Microsoft Windows Server 2003 Network Infrastructure,293,2009-08-25
Designing a Microsoft Windows Server 2003 Active Directory and Network Infrastructure,297,2009-07-02
Designing a Microsoft Exchange Server 2003 Organization,285,2009-05-22
"Planning, Implementing, and Maintaining a Microsoft Windows Server 2003 Active Directory Infrastructure",294,2008-12-18
"Implementing, Managing, and Maintaining a Microsoft Windows Server 2003 Network Infrastructure",291,2008-04-08
Implementing and Managing Microsoft Exchange Server 2003,284,2008-02-28
"Installing, Configuring, and Administering Microsoft Windows XP Professional",270,2007-12-18
Managing and Maintaining a Microsoft Windows Server 2003 Environment,290,2007-07-25
